location,date,vaccine
Argentina,2021-05-09,Sinopharm/Beijing
Argentina,2021-05-09,Sputnik V
Argentina,2021-05-10,Oxford/AstraZeneca
Argentina,2021-05-10,Sinopharm/Beijing
Argentina,2021-05-10,Sputnik V
Argentina,2021-05-11,Oxford/AstraZeneca
Argentina,2021-05-11,Sinopharm/Beijing
Argentina,2021-05-11,Sputnik V
Argentina,2021-05-12,Oxford/AstraZeneca
Argentina,2021-05-12,Sinopharm/Beijing
Argentina,2021-05-12,Sputnik V
Argentina,2021-05-13,Oxford/AstraZeneca
Argentina,2021-05-13,Sinopharm/Beijing
Argentina,2021-05-13,Sputnik V
Argentina,2021-05-14,Oxford/AstraZeneca
Argentina,2021-05-14,Sinopharm/Beijing
Argentina,2021-05-14,Sputnik V
Argentina,2021-05-15,Oxford/AstraZeneca
Argentina,2021-05-15,Sinopharm/Beijing
Argentina,2021-05-15,Sputnik V
Argentina,2021-05-16,Oxford/AstraZeneca
Argentina,2021-05-16,Sinopharm/Beijing
Argentina,2021-05-16,Sputnik V
Argentina,2021-05-17,Oxford/AstraZeneca
Argentina,2021-05-17,Sinopharm/Beijing
Argentina,2021-05-17,Sputnik V
Argentina,2021-05-18,Oxford/AstraZeneca
Argentina,2021-05-18,Sinopharm/Beijing
Argentina,2021-05-18,Sputnik V
Argentina,2021-05-19,Oxford/AstraZeneca
Argentina,2021-05-19,Sinopharm/Beijing
Argentina,2021-05-19,Sputnik V
Argentina,2021-05-20,Oxford/AstraZeneca
Argentina,2021-05-20,Sinopharm/Beijing
Argentina,2021-05-20,Sputnik V
Argentina,2021-05-21,Oxford/AstraZeneca
Argentina,2021-05-21,Sinopharm/Beijing
Argentina,2021-05-21,Sputnik V
Argentina,2021-05-22,Oxford/AstraZeneca
Argentina,2021-05-22,Sinopharm/Beijing
Argentina,2021-05-22,Sputnik V
Argentina,2021-05-23,Oxford/AstraZeneca
Argentina,2021-05-23,Sinopharm/Beijing
Argentina,2021-05-23,Sputnik V
Argentina,2021-05-24,Oxford/AstraZeneca
Argentina,2021-05-24,Sinopharm/Beijing
Argentina,2021-05-24,Sputnik V
Argentina,2021-05-25,Oxford/AstraZeneca
Argentina,2021-05-25,Sinopharm/Beijing
Argentina,2021-05-25,Sputnik V
Argentina,2021-05-26,Oxford/AstraZeneca
Argentina,2021-05-26,Sinopharm/Beijing
Argentina,2021-05-26,Sputnik V
Argentina,2021-05-27,Oxford/AstraZeneca
Argentina,2021-05-27,Sinopharm/Beijing
Argentina,2021-05-27,Sputnik V
Argentina,2021-05-28,Oxford/AstraZeneca
Argentina,2021-05-28,Sinopharm/Beijing
Argentina,2021-05-28,Sputnik V
Argentina,2021-05-29,Oxford/AstraZeneca
Argentina,2021-05-29,Sinopharm/Beijing
Argentina,2021-05-29,Sputnik V
Argentina,2021-05-30,Oxford/AstraZeneca
Argentina,2021-05-30,Sinopharm/Beijing
Argentina,2021-05-30,Sputnik V
Argentina,2021-05-31,Oxford/AstraZeneca
Argentina,2021-05-31,Sinopharm/Beijing
Argentina,2021-05-31,Sputnik V
Argentina,2021-06-01,Oxford/AstraZeneca
Argentina,2021-06-01,Sinopharm/Beijing
Argentina,2021-06-01,Sputnik V
Argentina,2021-06-02,Oxford/AstraZeneca
Argentina,2021-06-02,Sinopharm/Beijing
Argentina,2021-06-02,Sputnik V
Argentina,2021-06-03,Oxford/AstraZeneca
Argentina,2021-06-03,Sinopharm/Beijing
Argentina,2021-06-03,Sputnik V
Argentina,2021-06-04,Oxford/AstraZeneca
Argentina,2021-06-04,Sinopharm/Beijing
Argentina,2021-06-04,Sputnik V
Argentina,2021-06-05,Oxford/AstraZeneca
Argentina,2021-06-05,Sinopharm/Beijing
Argentina,2021-06-05,Sputnik V
Argentina,2021-06-06,Oxford/AstraZeneca
Argentina,2021-06-06,Sinopharm/Beijing
Argentina,2021-06-06,Sputnik V
Argentina,2021-06-07,Oxford/AstraZeneca
Argentina,2021-06-07,Sinopharm/Beijing
Argentina,2021-06-07,Sputnik V
Argentina,2021-06-08,Oxford/AstraZeneca
Argentina,2021-06-08,Sinopharm/Beijing
Argentina,2021-06-08,Sputnik V
Argentina,2021-06-09,Oxford/AstraZeneca
Argentina,2021-06-09,Sinopharm/Beijing
Argentina,2021-06-09,Sputnik V
Argentina,2021-06-10,Oxford/AstraZeneca
Argentina,2021-06-10,Sinopharm/Beijing
Argentina,2021-06-10,Sputnik V
Argentina,2021-06-11,Oxford/AstraZeneca
Argentina,2021-06-11,Sinopharm/Beijing
Argentina,2021-06-11,Sputnik V
Argentina,2021-06-12,Oxford/AstraZeneca
Argentina,2021-06-12,Sinopharm/Beijing
Argentina,2021-06-12,Sputnik V
Argentina,2021-06-13,Oxford/AstraZeneca
Argentina,2021-06-13,Sinopharm/Beijing
Argentina,2021-06-13,Sputnik V
Argentina,2021-06-14,Oxford/AstraZeneca
Argentina,2021-06-14,Sinopharm/Beijing
Argentina,2021-06-14,Sputnik V
Argentina,2021-06-15,Oxford/AstraZeneca
Argentina,2021-06-15,Sinopharm/Beijing
Argentina,2021-06-15,Sputnik V
Argentina,2021-06-16,Oxford/AstraZeneca
Argentina,2021-06-16,Sinopharm/Beijing
Argentina,2021-06-16,Sputnik V
Argentina,2021-06-17,Oxford/AstraZeneca
Argentina,2021-06-17,Sinopharm/Beijing
Argentina,2021-06-17,Sputnik V
Argentina,2021-06-18,Oxford/AstraZeneca
Argentina,2021-06-18,Sinopharm/Beijing
Argentina,2021-06-18,Sputnik V
Argentina,2021-06-19,Oxford/AstraZeneca
Argentina,2021-06-19,Sinopharm/Beijing
Argentina,2021-06-19,Sputnik V
Argentina,2021-06-20,Oxford/AstraZeneca
Argentina,2021-06-20,Sinopharm/Beijing
Argentina,2021-06-20,Sputnik V
Argentina,2021-06-21,Oxford/AstraZeneca
Argentina,2021-06-21,Sinopharm/Beijing
Argentina,2021-06-21,Sputnik V
Argentina,2021-06-22,Oxford/AstraZeneca
Argentina,2021-06-22,Sinopharm/Beijing
Argentina,2021-06-22,Sputnik V
Argentina,2021-06-23,Oxford/AstraZeneca
Argentina,2021-06-23,Sinopharm/Beijing
Argentina,2021-06-23,Sputnik V
Argentina,2021-06-24,Oxford/AstraZeneca
Argentina,2021-06-24,Sinopharm/Beijing
Argentina,2021-06-24,Sputnik V
Argentina,2021-06-25,Oxford/AstraZeneca
Argentina,2021-06-25,Sinopharm/Beijing
Argentina,2021-06-25,Sputnik V
Argentina,2021-06-26,Oxford/AstraZeneca
Argentina,2021-06-26,Sinopharm/Beijing
Argentina,2021-06-26,Sputnik V
Argentina,2021-06-27,Oxford/AstraZeneca
Argentina,2021-06-27,Sinopharm/Beijing
Argentina,2021-06-27,Sputnik V
Argentina,2021-06-28,Oxford/AstraZeneca
Argentina,2021-06-28,Sinopharm/Beijing
Argentina,2021-06-28,Sputnik V
Argentina,2021-06-29,Oxford/AstraZeneca
Argentina,2021-06-29,Sinopharm/Beijing
Argentina,2021-06-29,Sputnik V
Argentina,2021-06-30,Oxford/AstraZeneca
Argentina,2021-06-30,Sinopharm/Beijing
Argentina,2021-06-30,Sputnik V
Argentina,2021-07-01,Oxford/AstraZeneca
Argentina,2021-07-01,Sinopharm/Beijing
Argentina,2021-07-01,Sputnik V
Argentina,2021-07-02,Oxford/AstraZeneca
Argentina,2021-07-02,Sinopharm/Beijing
Argentina,2021-07-02,Sputnik V
Argentina,2021-07-03,Oxford/AstraZeneca
Argentina,2021-07-03,Sinopharm/Beijing
Argentina,2021-07-03,Sputnik V
Argentina,2021-07-04,Oxford/AstraZeneca
Argentina,2021-07-04,Sinopharm/Beijing
Argentina,2021-07-04,Sputnik V
Argentina,2021-07-05,Oxford/AstraZeneca
Argentina,2021-07-05,Sinopharm/Beijing
Argentina,2021-07-05,Sputnik V
Argentina,2021-07-06,Oxford/AstraZeneca
Argentina,2021-07-06,Sinopharm/Beijing
Argentina,2021-07-06,Sputnik V
Argentina,2021-07-07,Oxford/AstraZeneca
Argentina,2021-07-07,Sinopharm/Beijing
Argentina,2021-07-07,Sputnik V
Argentina,2021-07-08,Oxford/AstraZeneca
Argentina,2021-07-08,Sinopharm/Beijing
Argentina,2021-07-08,Sputnik V
Argentina,2021-07-09,Oxford/AstraZeneca
Argentina,2021-07-09,Sinopharm/Beijing
Argentina,2021-07-09,Sputnik V
Argentina,2021-07-10,Oxford/AstraZeneca
Argentina,2021-07-10,Sinopharm/Beijing
Argentina,2021-07-10,Sputnik V
Argentina,2021-07-11,Oxford/AstraZeneca
Argentina,2021-07-11,Sinopharm/Beijing
Argentina,2021-07-11,Sputnik V
Argentina,2021-07-12,Oxford/AstraZeneca
Argentina,2021-07-12,Sinopharm/Beijing
Argentina,2021-07-12,Sputnik V
Argentina,2021-07-13,Oxford/AstraZeneca
Argentina,2021-07-13,Sinopharm/Beijing
Argentina,2021-07-13,Sputnik V
Argentina,2021-07-14,Oxford/AstraZeneca
Argentina,2021-07-14,Sinopharm/Beijing
Argentina,2021-07-14,Sputnik V
Argentina,2021-07-15,Oxford/AstraZeneca
Argentina,2021-07-15,Sinopharm/Beijing
Argentina,2021-07-15,Sputnik V
Argentina,2021-07-16,Oxford/AstraZeneca
Argentina,2021-07-16,Sinopharm/Beijing
Argentina,2021-07-16,Sputnik V
Argentina,2021-07-17,Oxford/AstraZeneca
Argentina,2021-07-17,Sinopharm/Beijing
Argentina,2021-07-17,Sputnik V
Argentina,2021-07-18,Oxford/AstraZeneca
Argentina,2021-07-18,Sinopharm/Beijing
Argentina,2021-07-18,Sputnik V
Argentina,2021-07-19,Oxford/AstraZeneca
Argentina,2021-07-19,Sinopharm/Beijing
Argentina,2021-07-19,Sputnik V
Argentina,2021-07-20,Oxford/AstraZeneca
Argentina,2021-07-20,Sinopharm/Beijing
Argentina,2021-07-20,Sputnik V
Argentina,2021-07-21,Oxford/AstraZeneca
Argentina,2021-07-21,Sinopharm/Beijing
Argentina,2021-07-21,Sputnik V
Argentina,2021-07-22,Oxford/AstraZeneca
Argentina,2021-07-22,Sinopharm/Beijing
Argentina,2021-07-22,Sputnik V
Argentina,2021-07-23,Oxford/AstraZeneca
Argentina,2021-07-23,Sinopharm/Beijing
Argentina,2021-07-23,Sputnik V
Argentina,2021-07-24,Oxford/AstraZeneca
Argentina,2021-07-24,Sinopharm/Beijing
Argentina,2021-07-24,Sputnik V
Argentina,2021-07-25,Oxford/AstraZeneca
Argentina,2021-07-25,Sinopharm/Beijing
Argentina,2021-07-25,Sputnik V
Argentina,2021-07-26,Oxford/AstraZeneca
Argentina,2021-07-26,Sinopharm/Beijing
Argentina,2021-07-26,Sputnik V
Argentina,2021-07-27,Oxford/AstraZeneca
Argentina,2021-07-27,Sinopharm/Beijing
Argentina,2021-07-27,Sputnik V
Argentina,2021-07-28,Oxford/AstraZeneca
Argentina,2021-07-28,Sinopharm/Beijing
Argentina,2021-07-28,Sputnik V
Argentina,2021-07-29,Oxford/AstraZeneca
Argentina,2021-07-29,Sinopharm/Beijing
Argentina,2021-07-29,Sputnik V
Argentina,2021-07-30,Oxford/AstraZeneca
Argentina,2021-07-30,Sinopharm/Beijing
Argentina,2021-07-30,Sputnik V
Argentina,2021-07-31,Oxford/AstraZeneca
Argentina,2021-07-31,Sinopharm/Beijing
Argentina,2021-07-31,Sputnik V
Argentina,2021-08-01,Oxford/AstraZeneca
Argentina,2021-08-01,Sinopharm/Beijing
Argentina,2021-08-01,Sputnik V
Argentina,2021-08-02,Oxford/AstraZeneca
Argentina,2021-08-02,Sinopharm/Beijing
Argentina,2021-08-02,Sputnik V
Argentina,2021-08-03,Moderna
Argentina,2021-08-03,Oxford/AstraZeneca
Argentina,2021-08-03,Sinopharm/Beijing
Argentina,2021-08-03,Sputnik V
Argentina,2021-08-04,Moderna
Argentina,2021-08-04,Oxford/AstraZeneca
Argentina,2021-08-04,Sinopharm/Beijing
Argentina,2021-08-04,Sputnik V
Argentina,2021-08-05,Moderna
Argentina,2021-08-05,Oxford/AstraZeneca
Argentina,2021-08-05,Sinopharm/Beijing
Argentina,2021-08-05,Sputnik V
Argentina,2021-08-06,Moderna
Argentina,2021-08-06,Oxford/AstraZeneca
Argentina,2021-08-06,Sinopharm/Beijing
Argentina,2021-08-06,Sputnik V
Argentina,2021-08-07,Moderna
Argentina,2021-08-07,Oxford/AstraZeneca
Argentina,2021-08-07,Sinopharm/Beijing
Argentina,2021-08-07,Sputnik V
Argentina,2021-08-08,Moderna
Argentina,2021-08-08,Oxford/AstraZeneca
Argentina,2021-08-08,Sinopharm/Beijing
Argentina,2021-08-08,Sputnik V
Argentina,2021-08-09,Moderna
Argentina,2021-08-09,Oxford/AstraZeneca
Argentina,2021-08-09,Sinopharm/Beijing
Argentina,2021-08-09,Sputnik V
Argentina,2021-08-10,Moderna
Argentina,2021-08-10,Oxford/AstraZeneca
Argentina,2021-08-10,Sinopharm/Beijing
Argentina,2021-08-10,Sputnik V
Argentina,2021-08-11,Moderna
Argentina,2021-08-11,Oxford/AstraZeneca
Argentina,2021-08-11,Sinopharm/Beijing
Argentina,2021-08-11,Sputnik V
Argentina,2021-08-12,Moderna
Argentina,2021-08-12,Oxford/AstraZeneca
Argentina,2021-08-12,Sinopharm/Beijing
Argentina,2021-08-12,Sputnik V
Argentina,2021-08-13,Moderna
Argentina,2021-08-13,Oxford/AstraZeneca
Argentina,2021-08-13,Sinopharm/Beijing
Argentina,2021-08-13,Sputnik V
Argentina,2021-08-14,Moderna
Argentina,2021-08-14,Oxford/AstraZeneca
Argentina,2021-08-14,Sinopharm/Beijing
Argentina,2021-08-14,Sputnik V
Argentina,2021-08-15,Moderna
Argentina,2021-08-15,Oxford/AstraZeneca
Argentina,2021-08-15,Sinopharm/Beijing
Argentina,2021-08-15,Sputnik V
Argentina,2021-08-16,Moderna
Argentina,2021-08-16,Oxford/AstraZeneca
Argentina,2021-08-16,Sinopharm/Beijing
Argentina,2021-08-16,Sputnik V
Argentina,2021-08-17,Moderna
Argentina,2021-08-17,Oxford/AstraZeneca
Argentina,2021-08-17,Sinopharm/Beijing
Argentina,2021-08-17,Sputnik V
Argentina,2021-08-18,Moderna
Argentina,2021-08-18,Oxford/AstraZeneca
Argentina,2021-08-18,Sinopharm/Beijing
Argentina,2021-08-18,Sputnik V
Argentina,2021-08-19,Moderna
Argentina,2021-08-19,Oxford/AstraZeneca
Argentina,2021-08-19,Sinopharm/Beijing
Argentina,2021-08-19,Sputnik V
Argentina,2021-08-20,Moderna
Argentina,2021-08-20,Oxford/AstraZeneca
Argentina,2021-08-20,Sinopharm/Beijing
Argentina,2021-08-20,Sputnik V
Argentina,2021-08-21,Moderna
Argentina,2021-08-21,Oxford/AstraZeneca
Argentina,2021-08-21,Sinopharm/Beijing
Argentina,2021-08-21,Sputnik V
Argentina,2021-08-22,Moderna
Argentina,2021-08-22,Oxford/AstraZeneca
Argentina,2021-08-22,Sinopharm/Beijing
Argentina,2021-08-22,Sputnik V
Argentina,2021-08-23,Moderna
Argentina,2021-08-23,Oxford/AstraZeneca
Argentina,2021-08-23,Sinopharm/Beijing
Argentina,2021-08-23,Sputnik V
Argentina,2021-08-24,Moderna
Argentina,2021-08-24,Oxford/AstraZeneca
Argentina,2021-08-24,Sinopharm/Beijing
Argentina,2021-08-24,Sputnik V
Argentina,2021-08-25,Moderna
Argentina,2021-08-25,Oxford/AstraZeneca
Argentina,2021-08-25,Sinopharm/Beijing
Argentina,2021-08-25,Sputnik V
Argentina,2021-08-26,Moderna
Argentina,2021-08-26,Oxford/AstraZeneca
Argentina,2021-08-26,Sinopharm/Beijing
Argentina,2021-08-26,Sputnik V
Argentina,2021-08-27,Moderna
Argentina,2021-08-27,Oxford/AstraZeneca
Argentina,2021-08-27,Sinopharm/Beijing
Argentina,2021-08-27,Sputnik V
Argentina,2021-08-28,Moderna
Argentina,2021-08-28,Oxford/AstraZeneca
Argentina,2021-08-28,Sinopharm/Beijing
Argentina,2021-08-28,Sputnik V
Argentina,2021-08-29,Moderna
Argentina,2021-08-29,Oxford/AstraZeneca
Argentina,2021-08-29,Sinopharm/Beijing
Argentina,2021-08-29,Sputnik V
Argentina,2021-08-30,Moderna
Argentina,2021-08-30,Oxford/AstraZeneca
Argentina,2021-08-30,Sinopharm/Beijing
Argentina,2021-08-30,Sputnik V
Argentina,2021-08-31,Moderna
Argentina,2021-08-31,Oxford/AstraZeneca
Argentina,2021-08-31,Sinopharm/Beijing
Argentina,2021-08-31,Sputnik V
Argentina,2021-09-01,Moderna
Argentina,2021-09-01,Oxford/AstraZeneca
Argentina,2021-09-01,Sinopharm/Beijing
Argentina,2021-09-01,Sputnik V
Argentina,2021-09-02,Moderna
Argentina,2021-09-02,Oxford/AstraZeneca
